enddate,endtime,startdate,starttime,"time_spent
H:MM",type
110220170000,10019001201,110220170000,10019001151,0:09,place unique
101420170000,10019001529,101420170000,10019001526,0:02,place unique
101820170000,10019001524,101820170000,10019001517,0:07,place unique
101920170000,10019000559,101920170000,10019000549,0:10,place unique
102620170000,10019001849,102620170000,10019001833,0:16,place unique
111420170000,10019000726,111420170000,10019000715,0:11,place unique
102820170000,10019001229,102820170000,10019001205,0:24,place unique
110420170000,10019001654,110420170000,10019001651,0:02,place unique
110820170000,10019001451,110820170000,10019001427,0:24,place unique
101820170000,10019000547,101720170000,10019001628,13:19,place unique
101920170000,10019001646,101920170000,10019001630,0:16,place unique
100720170000,10019001411,100720170000,10019001355,0:15,place unique
110420170000,10019001643,110420170000,10019001639,0:03,place unique
102120170000,10019000903,102120170000,10019000842,0:21,place unique
101920170000,10019001625,101920170000,10019001622,0:03,place unique
110220170000,10019001257,110220170000,10019001232,0:24,place unique
101920170000,10019001618,101920170000,10019001604,0:14,place unique
102520170000,10019001124,102520170000,10019001111,0:13,place unique
110420170000,10019001713,110420170000,10019001701,0:12,place unique
110320170000,10019001829,110320170000,10019001811,0:17,place unique
102820170000,10019001147,102820170000,10019001106,0:40,place unique
101120170000,10019000653,101120170000,10019000649,0:04,place unique
110220170000,10019001223,110220170000,10019001213,0:10,place unique
102820170000,10019001015,102820170000,10019001012,0:03,place unique
102120170000,10019000937,102120170000,10019000908,0:28,place unique
110120170000,10019001626,110120170000,10019001617,0:08,place unique
110120170000,10019001736,110120170000,10019001717,0:19,place unique
110120170000,10019001707,110120170000,10019001631,0:36,place unique
102120170000,10019001006,102120170000,10019000953,0:13,place unique
102120170000,10019001133,102120170000,10019001053,0:39,place unique
102220170000,10019000822,102220170000,10019000807,0:15,place unique
102220170000,10019000804,102220170000,10019000757,0:06,place unique
102120170000,10019001305,102120170000,10019001244,0:20,place unique
102420170000,10019001419,102420170000,10019001319,0:59,place unique
102520170000,10019000913,102520170000,10019000855,0:17,place unique
102420170000,10019001800,102420170000,10019001754,0:06,place unique
102320170000,10019001602,102320170000,10019001557,0:05,place unique
102120170000,10019001627,102120170000,10019001324,3:03,place unique
102220170000,10019000908,102220170000,10019000906,0:02,place unique
102520170000,10019000953,102520170000,10019000932,0:21,place unique
102120170000,10019001225,102120170000,10019001208,0:17,place unique
101020170000,10019001645,101020170000,10019001638,0:06,place unique
